Column2,Year Level,Block No.,Curriculum Type,HOME ADDRESS: Please enter the name of your PROVINCE,GENDER,birthday,civil_status,No_of_siblings,place_in_the_family,Island Location (Where are you NOW?),Are you a TES Beneficiary?,Do you own a laptop?,Please skip this question if you own a laptop.  Do you  have someone that lets you borrow his/her laptop?,Is you MOBILE PHONE touch screen?,How is your internet connection in your place?,1. How did you  feel when you learned that instruction would no longer be face-to-face? Please check all that apply.,2. Why did you feel that way?,3. What were your expectations about Blended Learning before it started. Please check all that apply.,"1.	How satisfied are you with the learning you get from our blended learning mode of instruction during the 1st semester? ","2.	How satisfied are you with the assessments given (exercises, assignments, quizzes) to gauge or measure your learning of the lessons?",3. Did ALL your subject teachers provide you with MODULES last semester?,4. How clear were the presentation of your lessons in your modules last semester? Was it easy to follow?,"5.	Which do you prefer MORE in studying? ","6.	At AVERAGE, how many days a week were you required to be online in a particular subject?","7.	Did ALL your subject teachers provide you with videos, powerpoint presentations, and other learning tools that reinforce learning last semester? ","8.	How helpful were these videos, powerpoint presentations, and other learning tools in enhancing your understanding of your lessons? ","9.	Did ALL your subject teachers provide you feedbacks on your performance of exercises, assignments or quizzes?","10.	At average, how long did it take your teachers to provide you with feedback on your exercises, assignments or quizzes? ","11.	Did ALL your subject teachers last semester gave time to ask you if you have questions about the lesson and answer you back?",12. Which of the 5 areas below is your TOP 1 for IMPROVEMENT?,13. Which of the 5 areas below is your 2nd PRIORITY for IMPROVEMENT?,14. Which of the 5 areas below is your 3rd PRIORITY for IMPROVEMENT?,15. Which of the 5 areas below is your 4th PRIORITY for IMPROVEMENT?
227,2nd Year,3,New,Romblon,Male,3/12/2001,Single,4,1st,Tablas Island,No,No,No,Yes,3,Worried / Nervous,Because of the poor signal connection ,"Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective",3,4,Yes,5,A SOFTCOPY of your module,3,Yes,5,Yes,1,Yes,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation
228,2nd Year,3,New,Romblon,Female,12/29/2000,Single,7,5th,Sibuyan Island,No,No,No,Yes,3,Worried / Nervous,Because of the poor internet connection  ,Entirely no Face-to-Face;Only a softcopy of the module would be distributed to students via email or messenger;Learning would not be that effective,3,3,No,3,A SOFTCOPY of your module,3,Yes,3,No,2,No,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
229,1st year,3,New,Romblon,Male,7/10/2001,Single,3,2nd,Tablas Island,No,No,,Yes,2,Did not feel anything,Cuz i don't know how to react,Module is the primary tool in learning,2,3,No,3,A HARCOPY of your module,2,No,3,Yes,2,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,Faculty & Student Online Discussion of Lesson,Module Content and Presentation
230,2nd Year,3,New,Romblon,Male,9/15/2021,Single,4,1st,Tablas Island,No,No,,Yes,4,Did not feel anything,It's hard to learn,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,2,A SOFTCOPY of your module,3,Yes,3,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
231,2nd Year,4,New,Romblon,Female,12/1/2000,Single,2,1st,"Romblon, Romblon",No,Yes,,Yes,3,Worried / Nervous,I felt that way because I'm afraid I would find it hard to learn without the assistance of teachers physically tho you can private message them if you have concerns but still face to face classes is much more convinient for me. The signal status also is one of my concern because it's kinda weak in my place.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity",3,3,Yes,2,A HARCOPY of your module,4,Yes,4,No,3,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
232,2nd Year,3,New,Romblon,Female,8/20/2001,Single,1,1st,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed;Worried / Nervous,because I am not used to it. and I don't know how will I cope up with no face to face classes.,Entirely no Face-to-Face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited,3,5,Yes,3,A HARCOPY of your module,1,No,3,No,3,Yes,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation
233,1st year,3,New,Romblon,Female,6/21/2002,Single,3,1st,Tablas Island,No,Yes,,Yes,3,Happy / Excited;Sad / Disappointed,Hard to learn without ftf,Module is the primary tool in learning;Internet connection is a necessity,3,4,Yes,4,A SOFTCOPY of your module,4,Yes,4,No,3,No,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
234,4th year,2,New,Romblon,Female,9/23/2021,Married,6,4th,Tablas Island,No,No,No,Yes,4,Sad / Disappointed,Because not being able to study well,A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Student and teacher interactions would be very limited,2,3,Yes,3,A SOFTCOPY of your module,5,Yes,3,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
235,1st year,7,New,Romblon,Male,8/31/2000,Single,3,3rd,Tablas Island,No,No,No,Yes,1,Sad / Disappointed;Worried / Nervous,because it's a new experience for me.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Learning would not be that effective;Student and teacher interactions would be very limited",4,4,Yes,3,A HARCOPY of your module,3,Yes,4,Yes,4,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson
236,1st year,6,Old,Romblon,Male,11/10/2000,Single,1,1st,Tablas Island,No,No,No,Yes,4,Sad / Disappointed;Worried / Nervous,1st time in online class,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited",4,4,Yes,4,A SOFTCOPY of your module,2,Yes,5,Yes,3,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
237,1st year,1,New,Romblon,Male,5/17/2002,Single,2,2nd,Tablas Island,No,No,Yes,Yes,3,Sad / Disappointed;Worried / Nervous,Because my learning will be limited,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,4,Yes,4,A HARCOPY of your module,5,No,4,No,5,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises
238,3rd year,1,Old,Romblon,Female,8/26/1998,Single,4,2nd,Tablas Island,No,No,No,Yes,4,Did not feel anything,I dont know,"Exercises, quizzes, and major examinations will be done online or face-to-face",3,4,Yes,3,A SOFTCOPY of your module,3,Yes,4,No,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Module Content and Presentation
239,4th year,3,Old,Romblon,Female,8/22/1997,Single,4,2nd ,Tablas Island,No,No,Yes,Yes,3,Sad / Disappointed,Because we all know that face to face is the best way to learned anything. It would be a great help for students without any gadgets. ,Entirely no Face-to-Face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective,4,4,Yes,3,A SOFTCOPY of your module,2,Yes,4,No,3,No,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
240,1st year,6,New,Romblon,Male,4/27/2021,Single,4,4th,Tablas Island,No,No,,Yes,2,Happy / Excited,I'm nervous,A hardcopy of the module would be distributed to all students,3,3,No,3,A SOFTCOPY of your module,2,No,2,Yes,4,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
241,4th year,1,Old,Romblon,Female,12/28/1998,Single,7,6th,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed,"because, its hard to learn using this new technique of  learning because of poor internet connection","Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,No,2,A HARCOPY of your module,2,No,4,No,4,No,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
242,3rd year,1,Old,Romblon,Female,4/11/2021,Single,2,1th,"Tres Islas (Banton, Sibale, Simara)",No,Yes,,Yes,4,Sad / Disappointed,No answer ,"Exercises, quizzes, and major examinations will be done online or face-to-face",5,5,Yes,5,A SOFTCOPY of your module,0,Yes,2,Yes,5,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation
243,1st year,3,New,Romblon,Female,3/7/2001,Single,2,1st,Tablas Island,No,Yes,,Yes,3,Worried / Nervous,Because it still have a COVID ,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger",4,4,Yes,4,A SOFTCOPY of your module,3,Yes,4,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
244,4th year,3,Old,Romblon,Female,6/20/1994,Single,2,2nd,"Tres Islas (Banton, Sibale, Simara)",No,Yes,No,Yes,2,Happy / Excited;Sad / Disappointed;Worried / Nervous;Did not feel anything,It's sad because it's no longer the same as before.,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",4,5,Yes,4,A SOFTCOPY of your module,3,Yes,5,No,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises
245,4th year,3,Old,Romblon,Female,9/25/1995,Single,4,2nd,Tablas Island,No,No,No,Yes,2,Sad / Disappointed,"Because it is more expensive than having a face to face. Sometimes you can go to school without allowance or money unlike with the online class,  you can't take exams or activities without load and also the internet connection is weak.",Entirely no Face-to-Face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;Learning would not be that effective;Student and teacher interactions would be very limited,3,3,Yes,2,A HARCOPY of your module,3,Yes,3,No,3,No,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
247,3rd year,1,New,Romblon,Female,2/16/2000,Single,5,6th,"San Jose, Romblon",No,Yes,,Yes,3,Worried / Nervous,Because some others of the lesson is hard for us to understand.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited",3,4,Yes,4,A HARCOPY of your module,4,Yes,4,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation
248,2nd Year,1,Old,Romblon,Male,4/2/2021,Single,3,1st,Tablas Island,No,No,No,Yes,3,Did not feel anything,It's just like a normal day,"Exercises, quizzes, and major examinations will be done online or face-to-face",2,3,No,3,A SOFTCOPY of your module,3,No,5,Yes,1,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
249,2nd Year,4,New,Romblon,Female,10/1/1997,Single,5,4rth,Aklan,No,No,No,Yes,2,Sad / Disappointed,Because face to face learning is different from self study.,Internet connection is a necessity;Learning would not be that effective,3,3,Yes,4,A SOFTCOPY of your module,5,Yes,5,Yes,5,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
250,2nd Year,4,New,Romblon,Male,1/12/2001,Single,2,3rd,Tablas Island,No,No,No,Yes,3,Worried / Nervous,Yes,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject",4,4,Yes,4,A HARCOPY of your module,4,Yes,4,Yes,4,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
251,1st year,2,Old,Romblon,Male,5/3/2000,Single,6,5th,"Romblon, Romblon",No,Yes,,Yes,2,Shocked / Dosapointed,Im not used to it,"Exercises, quizzes, and major examinations will be done online or face-to-face",2,3,Yes,3,A HARCOPY of your module,4,Yes,2,Yes,2,Yes,Face to Face,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
252,1st year,2,New,Romblon,Male,12/13/2001,Single,3,1st,Tablas Island,No,Yes,,Yes,3,Did not feel anything,Because no something new,Internet connection is a necessity;Assessment of student performance will not be that reliable,4,3,Yes,4,A SOFTCOPY of your module,4,Yes,4,Yes,4,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Module Content and Presentation
253,2nd Year,2,New,Romblon,Male,6/29/1999,Single,3,1st,Tablas Island,No,No,No,Yes,3,Sad / Disappointed,so hard to learn,Student and teacher interactions would be very limited,3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,Yes,5,No,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
254,3rd year,1,Old,Romblon,Male,9/18/1998,Single,0,2nd,Tablas Island,No,No,No,Yes,1,Did not feel anything,Cause it's still the same ,"Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,Yes,2,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises
255,2nd Year,4,Old,Romblon,Female,5/29/2000,Single,5,3rd,Tablas Island,No,No,No,Yes,2,Sad / Disappointed,Because I can't learn easily that the face-to-face does,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited",3,3,Yes,3,A SOFTCOPY of your module,3,Yes,4,Yes,4,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,Faculty & Student Online Discussion of Lesson
257,1st year,7,New,Romblon,Male,12/2/2001,Single,2,1st,Tablas Island,Yes,No,No,Yes,2,Worried / Nervous,I feel that way because of online class.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity",3,3,Yes,3,A SOFTCOPY of your module,4,Yes,3,Yes,4,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty & Student Online Discussion of Lesson
258,2nd Year,7,New,Romblon,Female,5/12/2021,Single,3,3rd,Tablas Island,No,No,No,Yes,3,Its ok because we dont have financially,It okay,"Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,Yes,3,A HARCOPY of your module,4,Yes,4,Yes,3,Yes,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
259,4th year,3,Old,Oriental Mindoro,Female,5/16/1994,Single,5,2nd,Tablas Island,No,Yes,,Yes,1,Sad / Disappointed;Worried / Nervous,I preferred Face to face classes than online class,A hardcopy of the module would be distributed to all students,1,1,No,1,A HARCOPY of your module,5,No,3,No,2,Yes,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
260,4th year,1,Old,Romblon,Female,11/2/1997,Single,6,3rd,Tablas Island,No,No,No,Yes,2,Worried / Nervous,How i can access it ,A hardcopy of the module would be distributed to all students;Internet connection is a necessity,2,1,Yes,2,A HARCOPY of your module,1,No,2,No,1,No,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
261,4th year,2,Old,Romblon,Male,8/29/1995,Single,6,5th,Tablas Island,No,No,Yes,Yes,2,Worried / Nervous,Worried,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger",4,3,Yes,4,A SOFTCOPY of your module,4,Yes,4,Yes,4,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
262,3rd year,1,Old,Romblon,Female,3/7/2021,Single,2,2nd,Tablas Island,No,No,No,Yes,2,Worried / Nervous,Because some lesson cannot understand,Module is the primary tool in learning,2,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation
263,4th year,2,Old,Romblon,Male,2/12/1989,Single,4,4th,Tablas Island,No,Yes,,Yes,3,I think its hard to catch up the topic,Because of limited resources,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,Yes,2,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
264,2nd Year,4,New,Romblon,Male,4/27/2000,Single,4,1st,Tablas Island,Yes,Yes,,Yes,2,Sad / Disappointed,Because it is hard to learn without a teacher,A hardcopy of the module would be distributed to all students;Internet connection is a necessity;Learning would not be that effective,3,3,Yes,4,A HARCOPY of your module,3,Yes,4,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
265,1st year,1,New,Romblon,Female,6/30/2002,Single,4,4th,Tablas Island,No,Yes,,Yes,2,Sad / Disappointed,Being stuck at home for such a long period of time sucks. I miss my friends.,"Exercises, quizzes, and major examinations will be done online or face-to-face",4,4,Yes,3,A HARCOPY of your module,2,No,4,No,3,Yes,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation
266,1st year,2,New,Romblon,Male,8/26/2001,Single,2,1st,Tablas Island,No,Yes,,Yes,3,Happy / Excited,I feel happy  ,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective",3,3,Yes,3,A SOFTCOPY of your module,2,Yes,4,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson
267,3rd year,1,Old,Romblon,Female,9/22/1999,Single,1,1st,Tablas Island,No,Yes,,Yes,3,Worried / Nervous,I think I can't pass the requirements on time.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,No,2,A HARCOPY of your module,3,Yes,3,No,5,Yes,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson
268,2nd Year,1,Old,Romblon,Male,10/21/2000,Single,3,1st,Tablas Island,No,No,No,Yes,3,Sad / Disappointed,Because theirs a huge difference between physical learning and modular learning,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Student and teacher interactions would be very limited",4,4,Yes,4,A SOFTCOPY of your module,2,Yes,4,Yes,3,Yes,Module Content and Presentation,Module Content and Presentation,Module Content and Presentation,Module Content and Presentation
269,4th year,1,Old,Romblon,Male,12/18/1998,Single,5,3rd,Tablas Island,No,No,Yes,Yes,3,Sad / Disappointed,Because its not easy for us to learn during online class because of the internet connection.,Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;Learning would not be that effective,3,3,Yes,2,A HARCOPY of your module,4,No,2,No,2,No,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises
270,1st year,1,New,Romblon,Female,8/31/2001,Single,3,3rd,Tablas Island,No,No,Yes,Yes,2,Sad / Disappointed,Because I think we will learn a lot if it is face to face,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject",4,4,Yes,3,A HARCOPY of your module,4,Yes,3,Yes,4,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
271,2nd Year,2,New,Romblon,Male,6/6/2001,Single,2,1st,Tablas Island,No,Yes,,Yes,2,Happy / Excited;Worried / Nervous,"I'm excited because its a new learning way for us the students, and also worried because on online learning we need to find a consistent and strong internet connection for our zoom meetings and google meets and also we need to have enough load for it that's what i feel. ","Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,4,A SOFTCOPY of your module,3,Yes,4,Yes,2,Yes,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation
272,4th year,2,Old,Romblon,Male,10/11/1995,Single,7,1st,Tablas Island,Yes,No,No,Yes,3,It's fine and sad at the same time,We can't able to catch up the lessons as discussed in face to face.,Entirely no Face-to-Face;Module is the primary tool in learning;Internet connection is a necessity;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited,3,3,Yes,4,A SOFTCOPY of your module,3,Yes,4,No,3,No,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
273,3rd year,1,New,Romblon,Male,4/30/1999,Single,4,4th,Tablas Island,Yes,No,Yes,Yes,3,Sad / Disappointed;Worried / Nervous,I miss my classmates and we all know that it is better to attend face to face classes.,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",4,3,Yes,4,A HARCOPY of your module,4,Yes,4,No,4,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
274,2nd Year,2,Old,Romblon,Male,8/19/2000,Single,3,3rd,Tablas Island,No,No,No,Yes,2,Sad / Disappointed,"because it's hard to study alone, especially now that it's a pandemic and my signal is weak, which is why I can't download pdfs",Only a softcopy of the module would be distributed to students via email or messenger,2,3,Yes,4,A SOFTCOPY of your module,5,No,3,Yes,4,Yes,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
